kind,.pred_AI,.pred_class,is_correct,detector,native,name,model,document_id,prompt
AI,0.169279352,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
AI,0.000168949,Human,No,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,539,Elevate using literary
Human,0.001660109,Human,Yes,Quil,Yes,US 8th grade essay,Human,164,NA
AI,0.584319711,AI,Yes,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,562,Elevate using technical
AI,0.723657429,AI,Yes,Crossplag,NA,Fake CS224N - GPT3,GPT3,651,Plain
AI,0.003253815,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,686,Plain
AI,0.000941947,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,561,Elevate using technical
Human,2.12E-06,Human,Yes,GPTZero,Yes,Real CS224N,Human,797,NA
Human,2.81E-31,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,146,NA
Human,0.000184168,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,751,NA
AI,0.002296625,Human,No,Sapling,NA,Fake CS224N - GPT3,GPT3,672,Plain
AI,0.000260311,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,696,Elevate using technical
Human,0.005423389,Human,Yes,OriginalityAI,Yes,Real College Essays,Human,313,NA
AI,0.000100059,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,627,Plain
Human,0,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,361,NA
AI,6.58E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,673,Elevate using technical
Human,0.996987283,AI,No,HFOpenAI,No,Real TOEFL,Human,430,NA
AI,0.96367717,AI,Yes,GPTZero,NA,Fake College Essays - GPT3,GPT3,220,Plain
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,336,NA
Human,0,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,173,NA
AI,1.26E-05,Human,No,Sapling,NA,Fake CS224N - GPT3,GPT3,18,Plain
AI,0.000100059,Human,No,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,84,Simplify like non-native
AI,0.000100059,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,244,Enhance like native
AI,2.19E-06,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,520,Elevate using technical
AI,0.000171641,Human,No,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,159,Simplify like non-native
AI,0.197642162,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,632,Plain
Human,0.25,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,183,NA
AI,0.003057632,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,923,Enhance like native
Human,0.997492552,AI,No,OriginalityAI,Yes,Real CS224N,Human,867,NA
AI,0.905794501,AI,Yes,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,65,Plain
AI,0.436126739,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,724,Elevate using technical
AI,0.85648632,AI,Yes,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,537,Plain
AI,0.00737983,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,527,Elevate using technical
AI,0,Human,No,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,539,Elevate using literary
AI,0.020740019,Human,No,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.125,Human,Yes,ZeroGPT,No,Real TOEFL,Human,246,NA
AI,1,AI,Yes,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,891,Plain
AI,0.000171136,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,556,Elevate using technical
AI,0.02314939,Human,No,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,428,Enhance like native
AI,0.999999599,AI,Yes,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,679,Elevate using technical
Human,0.003894316,Human,Yes,Sapling,No,Real TOEFL,Human,332,NA
AI,1,AI,Yes,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,394,Simplify like non-native
AI,0.000184744,Human,No,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,42,Elevate using literary
AI,0.000167993,Human,No,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,283,Enhance like native
Human,0.428938419,Human,Yes,OriginalityAI,Yes,Real College Essays,Human,470,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,866,NA
AI,0.000219497,Human,No,Crossplag,NA,Fake College Essays - GPT3,GPT3,221,Plain
AI,2.12E-06,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,353,Enhance like native
Human,0.343623882,Human,Yes,GPTZero,No,Real TOEFL,Human,277,NA
AI,1.47E-05,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,444,Plain
AI,0.999999358,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,17,Plain
AI,0,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,213,Enhance like native
AI,0.9969,AI,Yes,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,114,Simplify like non-native
Human,0.000781564,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,822,NA
AI,0.006635653,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,378,Enhance like native
Human,0.001205407,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,866,NA
AI,0.99524647,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,106,Simplify like non-native
Human,0.000176908,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,803,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,392,Elevate using technical
Human,0.343623882,Human,Yes,GPTZero,No,Real TOEFL,Human,196,NA
AI,0.977450715,AI,Yes,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,84,Simplify like non-native
Human,0.970120579,AI,No,Sapling,Yes,US 8th grade essay,Human,147,NA
AI,0.1233356,Human,No,Quil,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.112579685,Human,Yes,Sapling,Yes,US 8th grade essay,Human,887,NA
Human,0.75,AI,No,ZeroGPT,No,Real TOEFL,Human,325,NA
AI,0.951194357,AI,Yes,GPTZero,NA,Fake College Essays - GPT3,GPT3,907,Plain
AI,0.99786526,AI,Yes,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,618,Elevate using technical
AI,0.000100059,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,624,Elevate using technical
AI,0.000182861,Human,No,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,420,Elevate using literary
Human,0.000195637,Human,Yes,HFOpenAI,Yes,US 8th grade essay,Human,94,NA
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,704,Plain
AI,6.10E-07,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,911,Enhance like native
AI,0.99171561,AI,Yes,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,26,Plain
AI,1,AI,Yes,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,64,Plain
Human,0.28426373,Human,Yes,Quil,Yes,US 8th grade essay,Human,887,NA
AI,5.24E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,717,Elevate using technical
Human,0.000176461,Human,Yes,Crossplag,Yes,Real College Essays,Human,917,NA
AI,0.999979793,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,574,Plain
Human,2.12E-06,Human,Yes,GPTZero,Yes,Real CS224N,Human,807,NA
AI,0.733897388,AI,Yes,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,168,Simplify like non-native
AI,0.000356772,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,22,Plain
AI,0.000531711,Human,No,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,298,Enhance like native
Human,0.000204579,Human,Yes,Crossplag,Yes,Real CS224N,Human,861,NA
AI,0.000603456,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,78,Enhance like native
AI,0.108699031,Human,No,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,197,Simplify like non-native
Human,0.280774713,Human,Yes,Quil,Yes,US 8th grade essay,Human,183,NA
AI,0.971135259,AI,Yes,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
Human,0.994919479,AI,No,Quil,Yes,US 8th grade essay,Human,185,NA
Human,0.25,Human,Yes,ZeroGPT,No,Real TOEFL,Human,327,NA
AI,0.999826252,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,166,Simplify like non-native
AI,0.99981457,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,666,Plain
Human,5.31E-06,Human,Yes,Sapling,No,Real TOEFL,Human,214,NA
Human,0.000219114,Human,Yes,Crossplag,Yes,Real CS224N,Human,829,NA
AI,0.000542926,Human,No,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,68,Elevate using literary
Human,0.375568186,Human,Yes,GPTZero,Yes,Real College Essays,Human,917,NA
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,642,Plain
Human,0.999998979,AI,No,Sapling,No,Real TOEFL,Human,320,NA
AI,0.000191692,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,702,Elevate using technical
AI,0.00100755,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,895,Enhance like native
AI,0.900023467,AI,Yes,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,457,Enhance like native
AI,0.149473026,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,728,Elevate using technical
AI,0.039061017,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,384,Plain
AI,0.019020911,Human,No,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,369,Enhance like native
AI,0.000312781,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,704,Plain
AI,1.35E-06,Human,No,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,205,Elevate using literary
AI,0.000100059,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,650,Elevate using technical
Human,0.000174407,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,88,NA
Human,0.000248706,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,808,NA
Human,0.99732995,AI,No,HFOpenAI,Yes,US 8th grade essay,Human,128,NA
AI,0.00062426,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,607,Elevate using technical
AI,0.982669473,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,663,Plain
Human,0.000202644,Human,Yes,Crossplag,Yes,Real CS224N,Human,818,NA
AI,0.031241018,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,618,Elevate using technical
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,722,Elevate using technical
Human,4.19E-08,Human,Yes,GPTZero,Yes,Real CS224N,Human,793,NA
AI,0.999611557,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,39,Plain
Human,0.139125541,Human,Yes,HFOpenAI,No,Real TOEFL,Human,335,NA
AI,0.000182416,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,599,Elevate using technical
AI,0.875,AI,Yes,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,447,Simplify like non-native
Human,0.25,Human,Yes,ZeroGPT,No,Real TOEFL,Human,342,NA
AI,0.9998,AI,Yes,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,113,Simplify like non-native
